MESSAGE,LABEL
Что делать если бота не могут найти уже 12 мин.,4
По чему примерное время ожидания бота стало 78:22?,4
Ш,9
у меня завис таймер и я уже неделю не могу вывести фр ворона,4
Разберитесь с проблемой долгих поисков ботов. Уел,4
Проблемма ещё решается? Я надеюсь это на неделю не затянется,3
Скажите пожалуйста когда я смогу забрать свои покупки ?,4
"Здравствуйте, около недели назад вывели средства на номер телефона, но деньги на счет до сих пор не поступили",7
Здравствуйте,1
Как вернуть деньги обратно,9
Как отменить встречу с ботом?,4
А ЧЕМ ВЫ МНЕ МОЖЕТЕИ ПОИОЧЬ Я УЖЕ КАК И ВСЕ ОСТАЛЬНЫЕ ЗАМУЧАЛАСЬ ЖДЯТЬ УЖЕ 3 МЕСЯЦА НЕ КТО НЕ МОЖЕТ ВЫВЕСТИ ПЕТА,4
Вы издеваетесь?,9
https://file.starpets.gg/static/images/a47ef9a685677510c5457a5f0b522cc3d.png,9
У меня залагало время,4
У меня в течении дня включается бот,4
Я уже 7 часов жду пока таймер кончится,4
Почему я немогу вывести предметы?,4
Когда вы уже исправите ботов? Мне очень нужно вывести петомца!,4
У Меня уже 5 час грузит,4
"здравствуйте. я уже в течение дня пишу, что у меня возникла ужасная проблема,которая не даёт мне зайти в мой инвентарь. говорят что помогут,но ничего толком не происходит. у меня в инвентаре, написано что назначается бот, уже где то 5-6 часов, и когда доходит до 100 минут,но отсчёт начинается заново. там у меня было очень много питомцев, и я не могу их ввести. я надеюсь что хотяб вы мне поможете.",4
Завис таймер ожидание бота,4
"Здравствуйте , писал двум оперторам с целью чтобы они попросили специалиста отменить поиск бота,ожидаю уже 3 часа",4
здрасте у меня проблема с выводом петов я жду когда мне дадут бота для вывода уже где-то 2 часа 2 раза сбросили ожидание,4
Ddgdhgh,9
"Здравствуйте, я оплатил заказ, но бот не нашёлся. Я жду больше 2 часов",4
Ищется долго бот,4
Здравствуйте у меня очень долго идет загрузка не дают бота что делать?,4
Здравствуйте,1
здраствуйте моя проблема все еще не решена у меня завис сайт и я не могу открыть инвентарь,4
"здравствуйте. я уже какой раз пишу на счёт этого, но у меня возникла проблема. уже много раз перезаходила на аккаунт, чтобы зайти в инвентарь, а там до сих пор назначается бот,где то 55 минут, и до того тоже так было, уже меняла пароль почты, все возможное сделала, но почему то не помогает. мне кажется, что нужно запустить кого-нибудь бота чтоб я могла выйти,но это зависит от вас",4
https://file.starpets.gg/static/images/878106adb2e6ab679e1c42ee3c52add36.jpg,9
Не могу вывести петов,4
....,9
Как закончить ожидание бота?,4
Связаться с поддержкой,11
Здравствуйте,1
"Здравствуйте, что делать если потск очень долгий?",4
Как закончить встречю с ботом?,9
"Здравствуйте, я не могу отменить поиск бота (нету кнопки для этого)",4
"Здравствуйте,Жду уже почти 4 часа, не могу вывести петов, что делать?",4
"Здравствуйте, когла можно будет вывести петов?",4
У меня бот ищется 90 минут,4
"Здравствуйте, у меня возникла проблема по выводу средств",7
Здравствуйте!,1
"Здравствуйте, как остановить поиск бота на вывод ?",9
"Здравствуйте, у меня идёт бесконечный таймер времени по нахождению бота. Это можно как то уже починить?",4
https://file.starpets.gg/static/images/191caebab19db94e65a74a41c545ec01.jpg,9
"здравствуйте. я уже какой раз пишу на счёт этого, но у меня возникла проблема. уже много раз перезаходила на аккаунт, чтобы зайти в инвентарь, а там до сих пор назначается бот,где то 55 минут, и до того тоже так было, уже меняла пароль почты, все возможное сделала, но почему то не помогает. надеюсь что вы мне поможете",4
Здраствейте,1
https://file.starpets.gg/static/images/f8e26ce110a15645b0c106e20d764087e9.jpeg,9
https://file.starpets.gg/static/images/7b8ea93eb38ba2f2225198717b10a00c.jpg,9
"Здравствуйте, у меня идёт бесконечный таймер времени по нахождению бота. Это можно как то уже починить?",4
Hi,1
"Здравствуйте,поиск бота идт уже 4 часа",4
"Здравствуйте, я не могу отменить поиск бота (нету кнопки для этого)",9
у меня уже 80 минут идёт подключения к боту,4
здрасте в вашей группе в вк в был пост  что вы победили баг и можно создать трейд с ботом,9
у меня уже 72 минуты идёт подключиния к боту,4
Здравствуйте у меня есть вопрос,1
Здравствуйте!,1
Здравствуйте,1
здравствуйте! сегодня не выдает бота целый день.как только таймер доходит до 100 идет новый счет с нуля.что делать? оператор ничем не помог,4
"Здравствуйте, у меня не могут включить бота, уже 35 минут сижу а кнопки отмена нет.",4
у меня ожидания потключения боты 65 минут,4
Здраствуйте почему у меня невозможно создать встречу с ботом,4
Почему  у меня написано бот с вашеми вещами временно на тех.работах?,4
https://file.starpets.gg/static/images/f3107a811eba44d614d4eca0f67119d4.jpeg,4
щас,9
Когда вы мне отдадите петов уже,4
У меня долго включается бот,4
Почему мне не отдают мои покупки уже 36 минут?,4
Как отменить бота? 1 час ждала устала,4
Здравствуйте у меня поиск длится более 20 мин,4
бота уже как 90 минут не назначают.что делать? как отменить?,4
У меня очень долго включается бот,4
Здравствуйте,1
здравствуйте,1
Здравствуйте у меня поиск бота уже 80 мин что мне делать?,4
Я не могу вывести пета,4
"Опретор говорил что специалист  отменит заявку на поиск бота, длится более 2х",4
Таймер идёт уже 4 часа,4
ОТДАЙТЕ МНЕ МОИХ ПЕТОВ,4
А на сколько ещё долго ждать ? А то я жду петов уже с 8 утра..,9
когда будут работать боты? я не могу вывести неде,4
"Добрый день, почему я не могу вывести петов? уже кучу времени",4
Сайт ищет бота уже час,4
Ну что поченили ботов,9
Здравствуйте я не могу отключить бота а он включается уже 6 часов,4
Здравствуйте,1
"Добрый день! Извините, но старпетс не может найти бота уже более 72 часов.",4
"Здравствуйте у меня не совсем вопрос,я хочу сказать что вы самые лучшие стараетесь уделяете столько времени нам спасибо огромное вам☺️❤️",9
Почему пишит премернл 5 сек я жду уже 1 час,4
"Добрый день , когда мою  заявку на вывод подтвердят?",9
здравствуйте,1
здравствуйте,1
Здравствуйте,1
Здравствуйте у меня проблема боты не включаются уже 6 часов все это время идет счет и его нельзя закрыть,4
Как получить монеты для покупки петов,9
"Обращалась в поддержку, что сайт долго ищет бота , отправляла скрин 40-ка минут. Но уже прошло больше часа! решите проблему.",4
с какой вы страны?,9
.,9
Помогите я просто хотела забрать пета и я устала ждать я вышла  и время не могу убрать там уже 76мин можете убрать вот мой ак никMilana_Myr0980 пороль pETROVA21,4
Когда у меня подчиняться бот,4
Здрастуйте у меня проблема у меня всегда ищитса бот,4
что делать если бот не назначается уже 86 минут?,4
когда починят ботов?,4
почему мне уже 50 минут включают бота или это нормально,4
"Сайт долго ищет бота , прошло 40 минут .",4
"Добрый день, я вывожу петов, жду уже 80 минут, а отменить нельзя. Что мне делать?",4
Стар петс когда я нажала искать бота он грузит и не показывает ссылку на сервир,4
Здравствуйте! Я не могу вывести ворона 2 день,4
"Здравствуйте. Ещё вчера я заказала ФР сову стоимостью 36 рублей. Вывела, жду 10 минут, не пришло, жду 50 минут, ничего не меняется. В итоге, я уже ожидаю ФР сову более 600 минут.",4
Что надо делать если уже пошол 2 таймер,4
Не могу вывести петов,4
https://file.starpets.gg/static/images/7f1b9c4bd5334711ede903e7b294912a.png,9
"блин, ну это уже не дело, я уже 200 минут жду",4
"Здравствуйте. Ещё вчера я заказала ФР сову стоимостью 36 рублей. Вывела, жду 10 минут, не пришло, жду 50 минут, ничего не меняется. В итоге, я уже ожидаю ФР сову более 600 минут.",4
"здравствуйте, недавно я продавала мфр кицуне, и хотела поменять цену, но почему то сайт поставил цену 2 рубля, в чем может быть проблема?",9
"Здравствуйте, этот бот не работает",4
блин,9
https://file.starpets.gg/static/images/1ac6df10981464d6249a1d650df7b6d88.png,9
Здравствуйте! Я уже 3 день не могу вывести петов. Можете уже отдать мне их?,4
здравствуйте.хотела назначить встречу с ботом. позже передумала. теперь не могу отменить,4
Сколько по времени грузится бот для вывода животного пета?,9
Связаться с поддержкой,11
ОТДАЙТЕ МОИХ ПЕТОВ\,9
Здравствуйте а почему бота не может найти уже 41мин?,4
tre6t3e5y,9
"Здраствуйте, час назад примерно у меня долго не выдавался бот, сказали что кинули жалобу, в результате время идёт и бот не назначается",4
"Здравствуйте, моя проблема решается?",9
"Здравствуйте, что делать если я начала искать бота, но хочу отменить это, но у меня ищется бот уже час, и я не могу зайти в инвентарь потому что бот ищется, как это отменить?",4
Здравствуйте,4
Здравствуйте почему я не могу отменить на выдачу пета уже 5 час,1
Здравствуйте!,4
Здравствуйте есть проблема,1
У меня таймер какой-то бесконечный,4
"Здравствуйте ,очень долгий поиск бота, могу отправить скрин . Так же интересует вопрос,как отменить поиск бота?",4
Вы сможите в ближайшее время настроить хотя бы вывод?,4
Здравствуйте! У меня вчера произошла небольшая проблема с ботом(,9
Когда заработает сайт?,3
Здрасте,1
я поставил на вывод 14 числа деньги не пришли мне создали заявку на 10 дней деньги не пришли мне опять  создали заявку на 10 дней они опять не пришли,7
Здравствуйте у меня зависло выдачи бота,4
извините за неудобства,9
здравствуйте выплата не приходит 7 день,7
"Здравствуйте бот включаеться очень долго ,можно ли с этим что нибудь сделать?",4
Здраствуйте у меня завис сайт я не могу зайти в инвентарь,4
Бот ищется очень долго,4
Почему я не могу кипишь петов у меня пишет «Сайт на технических роботах» что делать когда можно будет,4
Здравствуйте. Бот не появляется для передачи пета уже 2 дня. Помогите решить данный вопрос,5
https://file.starpets.gg/static/images/c6e47d9b4410894109261ad254b342b111.jpeg,9
"Здравствуйте, не могли бы вы мне помочь?",1
Окей,9
https://file.starpets.gg/static/images/56585a9167791b8ae655674080e83748.png,9
я смогу вывести пета из вентаря ?,4
Вы мне должны петов,9
Не могу вывести петов.Не дают бота.,4
почему я не могу вывести пета,4
Здравствуйте почему заявку на вывод не отменяется уже 4-ый час? (,9
https://file.starpets.gg/static/images/6554a6a9b91e9cf6b77dc610e101e512e1.jpeg,9
https://file.starpets.gg/static/images/b107bca4a7ab1a97eb4bbfdb8313757ba.jpg,9
здрасте произошла ситуация с выводом питомцем я жду уже где то 40 минут бот так и не назначен,4
"Здравствуйте, почему поиск бота на столько долгий ,что  занимает более 70 минут?",4
"Здравствуйте, хотела спросить, как долго сайт будет восстанавливаться?",3
почему не работает стар петс?,9
здравствуйте,1
"Здравствуйте, у меня на данный момент имеется 2 причины",1
Здравствуйте,1
здравствуйте,1
"Вы меня конечно извините, но я уже третий день не могу вывести мою черепаху. Вы можете уже наконец то отдать мне моего пета?",4
"Здрасте, когда починят бота??? Уже 3 недели не работает",4
Аа,9
"Здравствуйте, сколько ещё времени понадобится для починки сайта?",3
"Добрый день, что за траблы с моими выплатами? ОБЕ написано что оплачане, но денег нет",7
"Здравствуйте,вывод идёт уже более 7 дней",7
"Здраствуйте, проблема ниже ещё актуальна, мой пет отображается в инвентаре, но, когда я прихожу на встречу к боту, он просто напросто не отдаёт пета",5
я хочу уточнить когда починят встречу  с ботом мне обещали еще месяц назад что в течение недели все починят но прошел месяц и я не знаю сколько еще это терпеть,4
Уже второю неделю  не могу вывестм петов ! Что это такое ?,4
Когда починят моих ботов?,4
Связаттся,1
когда будет работать стар петс,3
почему нету ботов,5
"Здравствуйте снова, я опять не могу вывести предмет ,бот просто его не отдает",5
Почему я не могу вывести петов?,4
Здравствуйте хотел бы узнать сколько ещё ждать,1
Здравствуйте,1
знаете сколько раз меня обманывали!,1
Какой у вас сейчас средний онлайн на сайте?,9
Я сделал вывод и мне не пришли деньги я уже жду 10дней,7
Здравствуйте а мои выплаты 2 скоро производят ?,7
"Здравствуйте, сколько примерно нужно ждать вывода денег?",7
smirnova.alisa2606@gmail.com,9
Здраствуйте,1
Здрастуйте,1
Почему я не могу вывести петов,4
"Я 20 минут ждала, а встреча с ботом так и не состоялась. Что делать? Как вывести пэта?",4
"Здравствуйте почему бот не отдаёт питомца ? Я даходу на сервер кидаю ему трейд он соглашается,а тпитомца не отдаёт!",5
"Здравствуйте, бот не принимает трейд,что делать?",4
"Здравствуйте, бот не отдает мне предмет.",4
Здраствуйте,1
Здравствуйте,1
"Добрый день, почему до сих пор не работает пополнение петов? :-;",4
Здрасвтво,1
Почему когда я продаю ламу у меня пишит продавать за 0.00,9
Здравствуйте,1
"здравствуйте, бот не отдаёт питомца",4
вы ещё не сделали?,9
Здравствуйте я вывел  деньги два дня не приходят,7
я 2 дня жду пока Вы включите этого бота и наконец отдадите.,4
Здравствуйте я хотела пожаловаться на бота: BMZhn6 он не отдаёт пета,4
здраствуйте у меня 80минут виводица питомец,4
Здравствуйте моя выплата едет очень долго можно ли ее отменить?,7
"здравствуйте, 3 сутки пошли как жду вывод на киви",7
Почему я немогу купить и вивести питомцев?,4
"Добрый вечер, я подал заявку на вывод петов, жду уже 65 мину, отменить нельзя, что делать?",4
"Здравствуйте, 3 дня назад выводила 145 рублей со счета вашего сайта на киви кошелёк. До сих пор не пришли, что делать?",7
Здравствуйте,1
А на сколько долго надо ждать пока ботов починят ?,4
plhfdcndeqnt,9
"Здраствуйте, создал выплату и жду уже 216 часов, деньги так и не начислили",7
Здравствуйте,1
Здравствуйте боты отключены у всех или только у меня как 2 месяца не чего не работает,4
что делать если завис таймер?,4
Здравствуйте/ Почему бот выводит дешевых петов и дорогих нет?,4
Добрый вечер а можно как нибудь вывести моего пета побыстрее такая ситуация что его срочно нужно,4
Здравствуйте,1
Здравствуюте извините за беспокойство у меня уже 13 минут бот грузит и не загружается что мне делать?,4
Здравствуйте,1
"Вы не отвечаете более 15 минут, если проблема еще актуальна, то, пожалуйста, оставьте заявку снова, в рабочее время с 14:00 до 20:00 (МСК). Спасибо за понимание",9
Почему мне до сих пор не отдали яйцо ёлку?,4
бот не отдает питочца,4
hi,1
здравствуйте! я вывела деньги на карту 19 февраля в 18:29 (вывела 387 рублей) деньги до сих пор не пришли. хотя у вас написано что вывод делается в течение 72 часов,7
Здравствуйте помните меня?,1
"Добрый вечер, бот не даёт мне пета",4
Ну что там мой бот он долго еще будет не работать,4
"Здравствуйте. Я захотела вывести деньги с сайта, нажимаю, чтобы вывести через киви и мне пишет, что указан неправильный платежный счёт, номер киви я указываю правильно.",7
Я не могу пополнить счёт что делать?,6
?,9
"Почему мне не пришли деньги на карту,когда я их вывела.",7
"Здравствуйте! Извиняюсь за беспокойство. На протяжении нескольких дней пытаюсь вывести пета, однако бот питомца в трейд не ставит, хотя в чате здоровается со мной. После каждой попытки вывода я указываю причину отмены, что бот в трейд не ставит пета, но ничего не сделали. Сегодня уже писала в поддержку, но ситуация не изменилась. Ник бота : HKXet9",4
Добрый вечер !Никак не могу пополнить баланс,6
Здравствуйте,1
когда исправят ботов?,4
Бот не дает пета,4
здраствуйте мне не пришли мои 80 рублей,7
Здравствуйте нужно срочно вывести Пето а когда пытаюсь вывести встреча не удается,4
Здравствуйте,1
здравствуйте мне не приходят деньги с сайта уже 3 день,7
когда будут работать боты для попол.?,4
здравствуйте бот мне не может отдать фроста он не ставит его,4
бесконечное включение бота уже 2 часа,4
"Здравствуйте, хотел вывести деньги на юмани. На сайте написано, то что вывод был, но деньги не пришли",7
У меня не  выводятся пэты,4
"Здравствуйте, я нечаянно написала ник питомца вместо своего ника, и загрускка идёт с 12 часов",9
Здравствуйте,1
"Здравствуйте. Не выводятся пэты , пишет ошибка. Уже 3 день",4
"Здравствуйте, можно ли как-то получить приоритет на бота? У нас есть очень много петов, но вот внести их на сайт - очень сильная проблема, т.к бот очень редко доступен.",9
https://file.starpets.gg/static/images/10e35d432d99747eb5676ea1085bf5df2.jpg,9
Здраствуйте,1
я жду уже 10 дней,9
Прошло 5 дней деньги не пришли мне кажеться что деньги не придут потому что раньше когда я выводил деьги приходили моментально,7
Здравствуйте почему я не могу купить пета,9
"Добрый вечер, можете подсказать когда я смогу пополнить инвентарь",4
вы можете сменить бота HKXfs8 ?,4
А вы сможете сказать или написать когда моего бота с совой будет работа,4
я не магу вывести пета целый день что делать,4
"Здравствуйте , бот не отдает пета. Что делать?",4
Hello,1
"Я отдала петов боту и они не появились в инвентаре , что делать?",9
Можно спросить,9
"Здравствуйте,я не могу забрать петов уже 3 недели,как это можно понимать?!Чините ботов уже месяц и все ещё какие-то проблемы!",4
когда решится проблема с ботами и я смогу уже вывести петов?,4
здраствуйте у меня такая проблемка... я не могу вывести своего питомца,4
в инвентарь не пришли петы,9
здравствуй,1
Здраствуйте долго виводица пет уже 11 минут,4
Здравствуйте!,1
Мне бот не отдаёт петов,4
ЗДРАСТВУЙТЕ,1
"Здравствуйте, как скоро починят? Щас попробовала вывести на другой аккаунт, не даёт фр фрост фури. Очень срочно нужен пет.",4
Здраствуйте долго выводица петомец,4
"здравствуйте  почините бота AKZdz7 он мне месяц не отдает предметы , а вы ему все даете и даете дайте другому боту",4
Здраствуйте у меня опять это табличка,4
"Здравствуйте, бот не хочет отдавать пета уже 4 день",4
Вернуться назад,11
Здравствуйте,1
Не могу вывести нфр черепаху,4
я поставил на вывод 14 числа деньги не пришли мне создали заявку на 10 дней деньги не пришли мне опять  создали заявку на 10 дней они опять не пришли,7
Здравствуйте,1
Здраствуйте,1
"Здравствуйте, проблема с ботом",4
Я не могу вывести петов,4
"Здравствуйте, я нечаянно вставила название пета вместо своего ника и загрузка идёт до сих пор",9
"Здраствуйте я не могу вивесты предмет более 20 минут у меня ошибка когда нажимаю ВЫВЕСТИ ""Не получилось создать встречу с ботом... Мы уже пытаемся это исправить!"" исправте бистрей пожалуста",4
"Здравствуйте. Мне не приходят деньги. Уже 17 день не приходят! Мне сказали что если не придут,я должен написать вам!",7
отмените пожалуйста заявку на вывод средств 8260e4d4,7
"Здравствуйте, мне уже 3 раз подряд попадается бот, который не отдает предметы",4
"Выводила я  2 тысячи рублей на карту. Деньги до сир пор не пришли, прошло уже больше недели.",7
А можно спросить я только что вывел летучею мышь а сову не могу вывести,4
Здравствуйте мне не выдаёт бота я хотел узнать ведутся ли тех работы?,4
здрасвтвуйте,1
"Здравствуйте ,можете отправить бота с Ником: BMZhn6 на тех работы,он не отдаёт петов",4
Почему так долго я  жду  бота?,4
Тот же самый вопрос,9
"Здравствуйте, я купила нфр красного дракона, мне назначили бота под ником ELXet9, он не отдавал пета, хотя я нажала «вывести» и ввела свой Ник точно правильно. Также там приходили другие девочки и тоже писали, что он не отдаёт им пета, я читала ответ на этот вопрос, но я точно нажала вывести, и даже несколько раз проверяла, пожалуйста, помогите.",4
Петь не появились в инвертале ща приклиплю скрин  трейда,9
здравствуйте.,1
Здраствуйте почему я не могу пополнить пета? Я хочу продать пета у меня не получается,12
"мне бот нк отдает фроста,верните деньги или фроста, пожалуйста",4
"Здравствуйте,я купил кенгуру и хочу его продать,но мне пишет,что инвентарь не нашёл мои предметы",9
Ау,9
Здравствуйте! А сайт когда-нибудь будет работать в прежнем режиме?,9
Здравствуйте не могу сделать встречу с ботом чтобы забрать пета,4
когда ботов починете Сука месяц вывести не могу,4
"Здравствуйте! Извиняюсь за беспокойство. На протяжении нескольких дней пытаюсь вывести пета, однако бот питомца в трейд не ставит, хотя в чате здоровается со мной. После каждой попытки вывода я указываю причину отмены, что бот в трейд не ставит пета, но ничего не сделали, так что приходится писать лично. Ник бота : HKXet9",4
"здравствуйте, когда стар петс будет норм работать? НЕльзя выводить, продавать(",4
"Здравствуйте! Извиняюсь за беспокойство. На протяжении нескольких дней пытаюсь вывести пета, однако бот питомца в трейд не ставит, хотя в чате здоровается со мной. После каждой попытки вывода я указываю причину отмены, что бот в трейд не ставит пета, но ничего не сделали, так что приходится писать лично. Ник бота : HKXet9",4
https://file.starpets.gg/static/images/7b41b17b28a5546c3d36b13572db27e10.jpg,9
Что мне делать пети не пришли в инвелталь ждать???,9
Поддержка,9
"Здравствуйте, бот GJYdv8bне работает",1
здравствуйте на какой стадии моя заявку по поводу задержки выплаты,9
"Сайт дорого ищет ботов , прошло 15 минут , а он все ищет . Но по-началу он искал ботов быстро, тогда бот не отдавал мне питомца (черепаху). После этого я пробовала вывести яйцо и с ним все получалось .",4
"Здравствуйте, бот не отдаёт мне пета",4
https://file.starpets.gg/static/images/106cc42365e8f874e1c251a106e42896d8.jpg,9
Не пришли деньги,7
Я не могу вывести сову,4
"Здравствуйте, бот не выдаёт черепаху неон флай райд я пробую третий раз и он сёравно её не даёт",4
Здравствуйте,1
А вы любите когда волосатые мужики обмазываються маслом?,9
Боты не выдают ценных питомцев,4
Прошу вас помочь,1
"Здравствуйте,это снова я извините за долгое отсутствие. Как же мне все таки вернуть петов?",9
"Здравствуйте, ботов вообще когда нибудь починят?",4
Здравствуйте,1
Здравствуйте. Хотела бы спросить. Когда ботов починят? Я уже месяц жду чтоб продать пета.,4
Здравствуйте!,1
Почему у меня нет петов в инвентаре хотя я отдала петов боту?,9
дайте мне бота чтоб вещи вывести,4
я не туда кликнул,9
"Здравствуйте.Я покупал ворона,но бот почему то его не отдаёт или же слишком долго назначается бот,и вообще не назначается.С питомцем что то не так?",4
Можете пожалуйста исправить бота: GKYfo9SP он не даёт предметы,4
Здраствуйте у я пополнил петов 9 яиц мистик и вони не пришли,9
Да когда у вас прикротиться ЭТА СИТУАЦИЯ КОГДА ВЫВОДИШЬ ПЕТОВ ТУПОЙ САЙТ,4
почему я не магу вывести пета,4
Бот не даёт вещи хоть я и написал ник правильно,4
Здравствуйте ещё раз сейчас попробую выслать фото проблемы,9
Здраствуйте я не могу вывести пета,4
"Здравствуйте, я вчера купила себе фр фрост фури, добавила его в корзину и нажала вывести ввела ник зашла на сервер кинула трейд боту (это точно был бот тк я заходила раз 7) и не отдаёт. Прошу помогите что надо делать?",4
Здраствуйте! Мне не пришли деньги на starpets.gg\,6
"у меня вопрос вы чините своих ботов? прошлому оператору я скидывала скриншот с ботом который ничего не отдает, могу скинуть скрин вам чтобы узнать починили ли вы бота",4
Здравствуйте,1
"Здравствуйте, можете мне отменить последний вывод?",7
Бот не отдаёт предметы,4
я не магу вывести пета,4
"Здравствуй, бот не отдаëт моего пэта",4
Здравствуйте! Хотел сказать что эти боты (я отправлю фото) не отдают петов.,4
Здравствуйте!,1
"Здравствуйте. Помогите пожалуйста. Уже неделю не могу вывести пета, бот не отдант пета. Как мне его получить? 😭",4
Здрастуйте,1
Почему у меня пишет то что не удалось создать встречу с ботом,4
"Здравствуйте,бот не отдаёт пета что делать?",4
Здраствуйье,1
"Здравствуйте, когда начнут работать боты?",4
Почему у меня пропал пет если я его не продавал,9
Здравствуйте! Не приходят деньги (сказали что выплата будет 7 дней максимум и не приходит). Прошу примите меры!,7
где бот7,4
ещё долго ждать?,9
Здравствуйте!,1
"Здравствуйте, что дымали закончите переписку значит отвязались",1
Здравствуйте бот не отдаёт пета,4
где мой пет?,9
"Здравствуйте, 5 дней назад я вывела 120 рублей.И они мне не пришли. Помогите пожалуйста.",7
Здравствуйте,1
почему бот не отдает мне яйцо,4
Почему у вас так долго не работают боты?,4
"Здравствуйте, почему боты не работают",4
здравствуйте,1
Здравствуйте почему я не могу вывести петов из инвентаря?,4
"Здравствуйте, подскажите пожалуйста, всё время выпадает один и тот же бот и не отдает предметы, что делать?",4
я купила пета,9
"здравствуйте  почините бота AKZdz7 он мне месяц не отдает предметы , а вы ему все даете и даете дайте другому боту",4
Уже неделю не могу вывести пэтов из интвентаря!! Что делать?,4
Связатся с поддержкой,11
"Здравствуйте , скоро ботов починят?",4
Я не могу вывести питомцев что делать?,4
Здравствуйте а можно спросить,1
"Здравствуйте,мне бот не отдаёт пета:(",4
как мне получить свою вещь?,4
"Добрый день, я оформил выплату 2 дня назад, а она так и не пришла",7
"Здравствуйте. Уже сотый раз пытаюсь вывести питомца из инвентаря, бот очень долго ищется, что делать?",4
Бот не отдаёт пета,4
"здравствуйте, не получится никак ускорить вывод денег ?",7
здравствуйте,1
Здравствуйте ботов сделали ?,9
Когда будут работать боты,4
почему мне не доют бота,4
Здравствуйте я когда выважу пета кидаю трэйд но он не ставит пета,4
Здравствуйте,1
"Здравствуйте, когда закончатся тех. работы? Я жду месяц чтоб вывести пета, бот не принимает трейд, пытаюсь другого бота найти, но не получается",4
Бри не отдаёт петов,4
Здравствуйте мне бот не отдаёт петомца,4
"Здравствуйте, моя заявка на вывод денег выводится уже больше 72ч, помогите пожалуйста!",7
"Здраствуйте, бот не даёт пета, через минуту отклоняет, когда вы почините ботов?",4
здравствуйте я вчера писла по поводу бота что он не отдает пэта и на сегодня уже вечер так ничего и не случилось он не отдет мне фроста,4
Сколько примерно будут длиться тех.раб.? хочу вывести петов.,4
Добрый день) почему так долго дают ботов?,4
"Здравствуйте, почему не могу вивести петов? Это уде практически месяц, раньше писали не било ботов в теперь сам бот не отдаёт товар вообще, и такое уде на протяжении месяца",4
Почему один и тот-же бот  не отдает мне предметы. Другие отдают,4
"Здравствуйте, я дал пару петов боту, а они не появляются в инвентаре.",9
Почините бота под ником:DJYdx9 Причина:Не выдаёт предметы,4
"Почему когда я захожу к боту, куидаю ему трейд, он принимает но пета не отдаёт",4
Работает ли сайт?,9
Ну,9
"Здравствуйте, мне на карточку пришло не все что я вывел",7
Почему я не могу вывести петов ?,4
Когда заработает старпетс пополнение,9
Почему мне не приходят деньги? Я выводил 2 дня назад 300рублей не приходят и недавно 90 рублей где то и они пришли через час..,7
Здравствуйте у меня вопрос. Только у меня.,1
Когда я могу продавать лунных тигров скрабов и так далее Почему них не добавляют снова питомцы ты меня так это бесит,9
Здравствуйте почему я не могу добавить петов в инвентарь,4
Я выводила деньги на мегафон а они не пришли,7
"здравствуйте, я недавно продавала мфр кицуне за 250 рублей, и когда я хотела продать за 230, стар петс мне поставил цену 2 рубля, и кицуне моментально купили. почему так?.",9
Как скоро заработают боты?,4
